iPhone Sales (in million units),iPad Sales (in million units),Mac Sales (in million units),Wearables (in million units),Services Revenue (in billion $),State_Beijing,State_Brazil,State_California,State_Canada,State_Chongqing,State_Florida,State_France,State_Germany,State_Hong Kong,State_Illinois,State_India,State_Indonesia,State_Italy,State_Japan,State_Mexico,State_New York,State_Shanghai,State_Shenzhen,State_South Africa,State_South Korea,State_Spain,State_Texas,State_Thailand,State_UK,Region_Greater China,Region_North America,Region_Rest of Asia,Region_Rest of World,most_popular_device
0.097551184263348,0.3646877409406321,0.020044543429844,0.3879999999999999,0.7290409121395036,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Wearables
0.1445202729827378,0.928296067848882,0.6703786191536748,0.542,0.3427230046948356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,iPad
0.0232838217583299,0.9306090979182728,0.8652561247216034,0.619,0.9953051643192488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,iPad
0.1120032115616218,0.4587509637625289,0.9766146993318484,0.0279999999999999,0.0771294433266264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mac
0.4684865515857085,0.4710871241326138,0.6069042316258352,0.148,0.5553319919517101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Mac
0.2870333199518265,0.6900539707016191,0.9320712694877508,0.965,0.5157612340710931,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Wearables
0.8205539943797671,0.415574402467232,0.6870824053452115,0.556,0.81757209926224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,iPhone
0.6961059815335207,0.3639167309175019,0.376391982182628,0.122,0.7417840375586855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,iPhone
0.6330790847049378,0.3677717810331533,0.443207126948775,0.068,0.2468142186452045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,iPhone
0.1617824167001204,0.548959136468774,0.888641425389755,0.066,0.0670690811535881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mac
